name,gcode,r3_orbit,phi_sym,same_phi,cable_arr_poly,same_cable_arr_poly,outPoly,same_outpoly
5.104,O1O2O3U4U3O5U2O4U1U5,{'O1O2O3U4U3O5U2O4U1U5'},"[-1, -1, 0, 1, 1, -1, 0, 1, 1, 0, 1, 1, 1, 1, -1]","['5.89', '5.104', '7.44275']",-128*K1**4*K2**2 + 448*K1**4*K2 - 896*K1**4 + 64*K1**3*K2*K3 + 320*K1**2*K2**3 - 1312*K1**2*K2**2 + 1744*K1**2*K2 - 128*K1**2*K3**2 - 936*K1**2 + 1024*K1*K2*K3 + 96*K1*K3*K4 - 192*K2**4 + 64*K2**2*K4 - 696*K2**2 - 296*K3**2 - 40*K4**2 + 862,['5.104'],t^{6} + 12 t^{4} + 11 t^{2},"['5.24', '5.89', '5.104', '6.971', '7.9322', '7.22878', '7.39897', '7.42721', '7.44275']"
5.105,O1O2U1O3O4U2U4O5U3U5,{'O1O2U1O3O4U2U4O5U3U5'},"[-1, -1, 0, 1, 1, -1, 0, 1, 2, -1, 1, 1, 1, 0, 0]","['5.105', '7.27728']",-960*K1**4 - 64*K1**3*K3 - 736*K1**2*K2**2 + 1784*K1**2*K2 - 664*K1**2 + 856*K1*K2*K3 + 24*K1*K3*K4 - 112*K2**4 + 136*K2**2*K4 - 688*K2**2 - 240*K3**2 - 52*K4**2 + 714,['5.105'],t^{6} + 14 t^{4} + 14 t^{2} + 1,['5.105']
5.106,O1O2U1O3O4U3U4O5U2U5,{'O1O2U1O3O4U3U4O5U2U5'},"[-1, -1, 1, 1, 0, 0, 1, 1, 0, 0]","['4.10', '5.106', '6.2037']",-1536*K1**4 - 1280*K1**2*K2**2 + 1728*K1**2*K2 + 400*K1**2 + 736*K1*K2*K3 - 176*K2**4 + 96*K2**2*K4 - 128*K2**2 - 48*K3**2 - 4*K4**2 + 210,['5.106'],t^{5} + 6 t^{3} + 5 t,"['4.10', '5.106', '6.2037']"
5.107,O1O2U1O3O4U5U2O5U3U4,{'O1O2U1O3O4U5U2O5U3U4'},"[-2, 0, 0, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 0]",['5.107'],-960*K1**4 - 1056*K1**2*K2**2 + 1424*K1**2*K2 - 104*K1**2 + 864*K1*K2*K3 - 216*K2**4 + 184*K2**2*K4 - 344*K2**2 - 168*K3**2 - 38*K4**2 + 412,['5.107'],t^{6} + 15 t^{4} + 15 t^{2},['5.107']
5.108,O1O2U1O3O4U5U3O5U2U4,{'O1O2U1O3O4U5U3O5U2U4'},"[-2, 0, 0, 1, 1, 0, 2, 1, 2, 1, 0, 0, 1, 1, -1]",['5.108'],-1664*K1**4 - 416*K1**2*K2**2 + 2032*K1**2*K2 - 232*K1**2 + 352*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 568*K2**2 - 72*K3**2 - 2*K4**2 + 568,['5.108'],t^{6} + 19 t^{4} + 14 t^{2} + 1,['5.108']
5.109,O1O2U3O4O5U2U1O3U5U4,"{'O1O2U3O4U1O3U5U4O5U2', 'O1O2U3O4O5U2U1O3U5U4', 'O1O2U1O3U4U3O5U2O4U5'}","[-1, -1, 0, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 0, 0]",['5.109'],-128*K1**4 + 128*K1**2*K2 - 32*K2**2 + 30,['5.109'],t^{6} + 12 t^{4} + 19 t^{2},"['5.109', '5.111', '6.1882', '7.22455', '7.41623', '7.45127', '7.45176']"
5.110,O1O2U3O4O5U2U5O3U1U4,{'O1O2U3O4O5U2U5O3U1U4'},"[-1, -1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","['5.110', '7.44007']",-1088*K1**4 - 224*K1**2*K2**2 + 1168*K1**2*K2 - 64*K1**2 + 304*K1*K2*K3 - 16*K2**4 + 32*K2**2*K4 - 368*K2**2 - 96*K3**2 - 12*K4**2 + 362,['5.110'],t^{6} + 10 t^{4} + 4 t^{2},"['5.110', '7.44007']"
5.111,O1O2U3O4O5U4U5O3U1U2,{'O1O2U3O4O5U4U5O3U1U2'},"[-1, -1, 0, 1, 1, -1, 1, 1, 1, 0, 1, 1, 0, 1, -1]","['5.111', '6.1882', '7.22455', '7.41623', '7.45127', '7.45176']",-1280*K1**4 - 1728*K1**2*K2**2 + 1632*K1**2*K2 + 464*K1**2 + 960*K1*K2*K3 - 560*K2**4 + 304*K2**2*K4 + 144*K2**2 - 48*K3**2 - 12*K4**2 + 122,['5.111'],t^{6} + 12 t^{4} + 19 t^{2},"['5.109', '5.111', '6.1882', '7.22455', '7.41623', '7.45127', '7.45176']"
5.112,O1O2U1O3U2O4U3O5U4U5,"{'O1O2U3O4U2O5U4U1O3U5', 'O1O2U1O3U2O4U3O5U4U5', 'O1O2U3U1O4O5U2U4O3U5'}","[-1, 0, 0, 0, 1, 0, 0, 1, 2, -1, -1, 1, -1, 0, 0]","['5.112', '7.45975']",-64*K1**4 + 144*K1**2*K2 - 80*K1**2 - 56*K2**2 + 54,"['5.112', '5.113']",t^{6} + 9 t^{4} + 11 t^{2},['5.112']
5.113,O1O2U3O4U5O3U1O5U2U4,{'O1O2U3O4U5O3U1O5U2U4'},"[-1, 0, 0, 0, 1, -1, 0, 1, 2, -1, 1, 0, -1, -1, 1]",['5.113'],-64*K1**4 + 144*K1**2*K2 - 80*K1**2 - 56*K2**2 + 54,"['5.112', '5.113']",t^{6} + 15 t^{4} + 35 t^{2},['5.113']
5.114,O1O2U3O4U2O5U1O3U5U4,"{'O1O2U3O4U2O5U1O3U5U4', 'O1O2U3U1O4O3U5U4O5U2'}","[-1, 0, 0, 1, 0, 0, 2, -1, 0, 0]","['4.9', '5.114', '6.2020', '7.44907', '7.45593']",-224*K1**4 + 304*K1**2*K2 - 80*K1**2 - 96*K2**2 + 94,['5.114'],t^{5} + 7 t^{3} + 6 t,"['5.114', '6.2020', '7.44907', '7.45593']"
5.115,O1O2U1O3U2U4O5O4U3U5,{'O1O2U1O3U2U4O5O4U3U5'},"[-1, 0, 0, 0, 1, 0, 0, 0, 1, -1, -1, 1, 0, 0, 1]",['5.115'],32*K1**4*K2 - 960*K1**4 - 32*K1**3*K3 - 384*K1**2*K2**2 + 1768*K1**2*K2 - 752*K1**2 + 456*K1*K2*K3 - 16*K2**4 + 32*K2**2*K4 - 688*K2**2 - 128*K3**2 - 12*K4**2 + 682,['5.115'],t^{6} + 7 t^{4} + 9 t^{2} + 1,['5.115']
5.116,O1O2U1O3U4U2O4O5U3U5,{'O1O2U1O3U4U2O4O5U3U5'},"[-1, -1, 0, 1, 1, -1, 0, 1, 1, 1, 0, 1, 1, 0, 0]","['5.116', '7.44828']",96*K1**4*K2 - 896*K1**4 + 32*K1**3*K2*K3 - 1120*K1**2*K2**2 - 96*K1**2*K2*K4 + 1952*K1**2*K2 - 32*K1**2*K3**2 - 864*K1**2 - 160*K1*K2**2*K3 + 1264*K1*K2*K3 + 192*K1*K3*K4 - 80*K2**4 + 200*K2**2*K4 - 872*K2**2 - 368*K3**2 - 108*K4**2 + 858,['5.116'],t^{6} + 10 t^{4} + 10 t^{2} + 1,['5.116']
5.117,O1O2U3O4U1U5O3O5U4U2,{'O1O2U3O4U1U5O3O5U4U2'},"[-1, -1, 0, 1, 1, -1, 1, 0, 1, 0, 1, 1, 1, 0, 0]",['5.117'],224*K1**4*K2 - 864*K1**4 + 32*K1**3*K2*K3 - 192*K1**3*K3 + 96*K1**2*K2**3 - 704*K1**2*K2**2 - 96*K1**2*K2*K4 + 1888*K1**2*K2 - 32*K1**2*K3**2 - 1080*K1**2 - 160*K1*K2**2*K3 + 1056*K1*K2*K3 + 192*K1*K3*K4 - 80*K2**4 + 176*K2**2*K4 - 896*K2**2 - 360*K3**2 - 108*K4**2 + 906,['5.117'],t^{6} + 14 t^{4} + 24 t^{2} + 1,"['5.117', '7.27728']"
5.118,O1O2U3O4U2U1O3O5U4U5,{'O1O2U3O4U2U1O3O5U4U5'},"[-1, 0, 0, 0, 1, 0, 0, 0, 2, -1, 0, 1, 0, 0, 1]","['5.118', '7.41090', '7.43548', '7.44970']",224*K1**4*K2 - 704*K1**4 - 224*K1**3*K3 - 448*K1**2*K2**2 + 1576*K1**2*K2 - 880*K1**2 + 632*K1*K2*K3 - 16*K2**4 + 32*K2**2*K4 - 664*K2**2 - 176*K3**2 - 12*K4**2 + 658,['5.118'],t^{6} + 7 t^{4} + 7 t^{2} + 1,['5.118']
5.119,O1O2U3O4U2U5O3O5U1U4,{'O1O2U3O4U2U5O3O5U1U4'},"[-1, -1, 0, 1, 1, -1, 1, 0, 1, 0, 1, 0, 1, 0, 1]",['5.119'],-128*K1**4*K2**2 + 448*K1**4*K2 - 704*K1**4 + 320*K1**2*K2**3 - 1152*K1**2*K2**2 + 1520*K1**2*K2 - 768*K1**2 + 560*K1*K2*K3 - 176*K2**4 + 32*K2**2*K4 - 464*K2**2 - 96*K3**2 - 4*K4**2 + 610,['5.119'],t^{6} + 18 t^{4} + 44 t^{2},['5.119']
5.120,O1U2O3U4O2U5O4U1O5U3,{'O1U2O3U4O2U5O4U1O5U3'},"[0, 0, 0, 0, 0, -1, -1, 1, 1, -1, -1, 1, -1, -1, -1]","['5.120', '7.35295', '7.35333', '7.45213', '7.45236']",-2,"['5.120', '6.2085', '7.35295', '7.35333', '7.45213', '7.45236', '7.46143', '7.46231']",t^{6} + 10 t^{4} + 5 t^{2},"['5.120', '7.35295', '7.35333', '7.45213', '7.45236']"
