name,gcode,diag_sym_type,inv,bar,invbar,r3_orbit,phi_sym,same_phi,cable_arr_poly,same_cable_arr_poly,outPoly,same_outpoly,sameflatknot
6.369,O1O2O3O4O5U3U5O6U2U4U1U6,"[0, 0, 0]",O1O2O3O4O5U6U5U2U4O6U1U3,O1O2O3O4U3U1U5U2U6O5O6U4,O1O2O3O4U1O5O6U5U3U6U4U2,{'O1O2O3O4O5U3U5O6U2U4U1U6'},"[-3, -1, -1, 1, 2, 2, 0, 1, 3, 1, 2, 0, 1, 1, 1, 2, 2, 2, 2, 1, -1]",['6.369'],-128*K1**6 + 768*K1**4*K2 - 2832*K1**4 + 224*K1**3*K2*K3 - 768*K1**3*K3 - 128*K1**2*K2**4 + 256*K1**2*K2**3 + 128*K1**2*K2**2*K4 - 3904*K1**2*K2**2 + 352*K1**2*K2*K3**2 + 128*K1**2*K2*K4**2 - 640*K1**2*K2*K4 + 7160*K1**2*K2 - 1232*K1**2*K3**2 - 64*K1**2*K3*K5 - 416*K1**2*K4**2 - 4472*K1**2 + 384*K1*K2**3*K3 - 1024*K1*K2**2*K3 - 160*K1*K2**2*K5 + 96*K1*K2*K3**3 + 32*K1*K2*K3*K4**2 - 448*K1*K2*K3*K4 - 64*K1*K2*K3*K6 + 6872*K1*K2*K3 - 192*K1*K2*K4*K5 - 32*K1*K2*K4*K7 + 2320*K1*K3*K4 + 456*K1*K4*K5 + 56*K1*K5*K6 - 32*K2**6 - 64*K2**4*K3**2 - 32*K2**4*K4**2 + 96*K2**4*K4 - 568*K2**4 + 32*K2**3*K3*K5 + 32*K2**3*K4*K6 + 64*K2**2*K3**2*K4 - 832*K2**2*K3**2 - 32*K2**2*K3*K7 + 32*K2**2*K4**3 - 280*K2**2*K4**2 - 32*K2**2*K4*K8 + 1136*K2**2*K4 - 8*K2**2*K6**2 - 3712*K2**2 - 96*K2*K3**2*K4 - 32*K2*K3*K4*K5 + 656*K2*K3*K5 + 256*K2*K4*K6 + 16*K2*K5*K7 + 8*K2*K6*K8 - 96*K3**4 - 48*K3**2*K4**2 + 104*K3**2*K6 - 2264*K3**2 + 48*K3*K4*K7 - 8*K4**4 + 8*K4**2*K8 - 884*K4**2 - 176*K5**2 - 56*K6**2 - 8*K7**2 - 2*K8**2 + 4044,['6.369'],t^{7} + 56 t^{5} + 49 t^{3} + 4 t,['6.369'],"['6.4825', '6.5170', '6.6387', '6.6820', '6.8348', '6.8782', '6.9718', '6.10023', '6.11641', '6.11992', '6.12983', '6.20469', '6.20730', '6.21822', '6.27853', '6.29361', '6.31440', '6.32614', '6.39283', '6.39762', '6.41461', '6.46322', '6.47584', '6.47897', '6.49052', '6.49878', '6.51304', '6.51523', '6.53232', '6.57340', '6.62026', '6.64313']"
6.370,O1O2O3O4O5U3U5O6U2U6U1U4,"[0, 0, 0]",O1O2O3O4O5U2U6U4O6U5U1U3,O1O2O3O4U3U1U5U4U6O5O6U2,O1O2O3O4U3O5O6U5U1U6U4U2,"{'O1O2O3O4O5U3U5O6U2U6U1U4', 'O1O2O3O4U2U5U3O6U1U6O5U4', 'O1O2O3O4O5U3U5U1O6U2U6U4'}","[-3, -1, 2, 2, 0, 2, 3, 0, 1, -1]",['6.370'],-64*K1**6 + 64*K1**4*K2 - 624*K1**4 - 416*K1**2*K2**2 + 928*K1**2*K2 - 336*K1**2*K3**2 - 48*K1**2*K4**2 - 500*K1**2 + 952*K1*K2*K3 + 448*K1*K3*K4 + 40*K1*K4*K5 - 48*K2**4 - 64*K2**2*K3**2 - 8*K2**2*K4**2 + 112*K2**2*K4 - 574*K2**2 + 88*K2*K3*K5 + 8*K2*K4*K6 - 432*K3**2 - 180*K4**2 - 36*K5**2 - 2*K6**2 + 690,['6.370'],t^{5} + 33 t^{3} + 10 t,['6.370'],"['6.4133', '6.4166', '6.5371', '6.5404', '6.5467', '6.5580', '6.7493', '6.7661', '6.8994', '6.9027', '6.11186', '6.12272', '6.12381', '6.12431', '6.12462', '6.13363', '6.13586', '6.13619', '6.14275', '6.14722', '6.14746', '6.15181', '6.15878', '6.15902', '6.26197', '6.26640', '6.30836', '6.30867', '6.31305', '6.31702', '6.32020', '6.32051', '6.32463', '6.32880', '6.33079', '6.33112', '6.38175', '6.38181', '6.39077', '6.44832', '6.44926', '6.45833', '6.49322', '6.52321', '6.53165', '6.53535', '6.58431', '6.62955']"
6.371,O1O2O3O4O5U3U5O6U4U1U2U6,"[0, 0, 0]",O1O2O3O4O5U6U4U5U2O6U1U3,O1O2O3O4U2U3U5U1U6O5O6U4,O1O2O3O4U1O5O6U5U4U6U2U3,{'O1O2O3O4O5U3U5O6U4U1U2U6'},"[-3, -1, 0, 0, 2, 2, 0, 1, 2, 1, 3, 0, 1, 1, 1, 1, 2, 1, 2, 1, -2]",['6.371'],384*K1**4*K2**3 - 960*K1**4*K2**2 + 1024*K1**4*K2 - 1440*K1**4 + 160*K1**3*K2*K3 + 32*K1**3*K3*K4 - 1024*K1**2*K2**4 + 1632*K1**2*K2**3 - 4400*K1**2*K2**2 + 3784*K1**2*K2 - 160*K1**2*K3**2 - 64*K1**2*K4**2 - 2648*K1**2 + 1536*K1*K2**3*K3 + 3928*K1*K2*K3 + 496*K1*K3*K4 + 64*K1*K4*K5 + 8*K1*K5*K6 - 192*K2**6 - 448*K2**4*K3**2 - 192*K2**4*K4**2 + 672*K2**4*K4 - 2096*K2**4 + 352*K2**3*K3*K5 + 128*K2**3*K4*K6 - 1376*K2**2*K3**2 - 536*K2**2*K4**2 + 1072*K2**2*K4 - 80*K2**2*K5**2 - 16*K2**2*K6**2 - 1182*K2**2 + 616*K2*K3*K5 + 192*K2*K4*K6 + 8*K2*K5*K7 + 8*K3**2*K6 - 1320*K3**2 - 552*K4**2 - 112*K5**2 - 34*K6**2 + 2734,['6.371'],t^{7} + 51 t^{5} + 99 t^{3},['6.371'],"['6.4749', '6.5078', '6.6291', '6.6732', '6.8252', '6.8703', '6.9638', '6.9955', '6.20403', '6.21756', '6.27743', '6.29277', '6.39177', '6.41409', '6.45907', '6.47544', '6.48781', '6.48994', '6.49593', '6.49798', '6.50793', '6.51010', '6.51280', '6.51477', '6.57272', '6.58501', '6.61926', '6.63023', '6.66885', '6.67767', '6.69519', '6.70229']"
6.372,O1O2O3O4O5U3U5O6U4U1U6U2,"[0, 0, 0]",O1O2O3O4O5U4U6U5U2O6U1U3,O1O2O3O4U2U4U5U1U6O5O6U3,O1O2O3O4U2O5O6U5U4U6U1U3,{'O1O2O3O4O5U3U5O6U4U1U6U2'},"[-2, -2, 0, 1, 1, 2, -2, 0, 1, 2, 3, 1, 1, 2, 2, 1, 1, 1, -1, 0, 1]",['6.372'],-128*K1**6 + 640*K1**4*K2 - 2880*K1**4 + 256*K1**3*K2*K3 - 896*K1**3*K3 - 2672*K1**2*K2**2 + 96*K1**2*K2*K3**2 - 192*K1**2*K2*K4 + 7704*K1**2*K2 - 1760*K1**2*K3**2 - 256*K1**2*K4**2 - 5824*K1**2 - 800*K1*K2**2*K3 - 128*K1*K2**2*K5 + 64*K1*K2*K3**3 - 448*K1*K2*K3*K4 - 96*K1*K2*K3*K6 + 7232*K1*K2*K3 + 2656*K1*K3*K4 + 504*K1*K4*K5 + 32*K1*K5*K6 - 232*K2**4 - 688*K2**2*K3**2 - 96*K2**2*K4**2 + 1064*K2**2*K4 - 4912*K2**2 - 128*K2*K3**2*K4 + 960*K2*K3*K5 + 168*K2*K4*K6 - 160*K3**4 + 200*K3**2*K6 - 2924*K3**2 - 1138*K4**2 - 364*K5**2 - 88*K6**2 + 5232,['6.372'],t^{7} + 41 t^{5} + 58 t^{3} + 5 t,"['6.372', '7.21437']","['6.3654', '6.3749', '6.3940', '6.4035', '6.4485', '6.4582', '6.5867', '6.5996', '6.7137', '6.7312', '6.7403', '6.7916', '6.8037', '6.9346', '6.17931', '6.18026', '6.18761', '6.24466', '6.24882', '6.25343', '6.37500', '6.43893', '6.44229', '6.44532', '6.48278', '6.48341', '6.50059', '6.50169', '6.50561', '6.50626', '6.55874', '6.60737']"
6.373,O1O2O3O4O5U3U5O6U4U2U1U6,"[0, 0, 0]",O1O2O3O4O5U6U5U4U2O6U1U3,O1O2O3O4U3U2U5U1U6O5O6U4,O1O2O3O4U1O5O6U5U4U6U3U2,{'O1O2O3O4O5U3U5O6U4U2U1U6'},"[-3, -1, 0, 1, 1, 2, 0, 1, 2, 3, 1, 0, 1, 1, 1, 1, 1, 2, 0, 2, 2]",['6.373'],640*K1**4*K2 - 2768*K1**4 + 448*K1**3*K2*K3 + 64*K1**3*K3*K4 - 1088*K1**3*K3 + 96*K1**2*K2**2*K4 - 2528*K1**2*K2**2 + 32*K1**2*K2*K3**2 - 160*K1**2*K2*K4 + 7616*K1**2*K2 - 1552*K1**2*K3**2 - 96*K1**2*K3*K5 - 224*K1**2*K4**2 - 64*K1**2*K5**2 - 6400*K1**2 - 864*K1*K2**2*K3 - 32*K1*K2**2*K5 + 32*K1*K2*K3**3 - 608*K1*K2*K3*K4 - 96*K1*K2*K3*K6 + 7192*K1*K2*K3 - 32*K1*K3**2*K5 + 2792*K1*K3*K4 + 752*K1*K4*K5 + 192*K1*K5*K6 - 64*K2**4 - 32*K2**3*K6 - 304*K2**2*K3**2 - 40*K2**2*K4**2 + 1088*K2**2*K4 - 8*K2**2*K6**2 - 5346*K2**2 - 64*K2*K3**2*K4 + 912*K2*K3*K5 + 192*K2*K4*K6 + 8*K2*K5*K7 + 16*K2*K6*K8 - 64*K3**4 - 16*K3**2*K4**2 + 144*K3**2*K6 - 3392*K3**2 + 24*K3*K4*K7 - 8*K4**4 + 16*K4**2*K8 - 1458*K4**2 - 580*K5**2 - 174*K6**2 - 12*K7**2 - 12*K8**2 + 5828,['6.373'],t^{7} + 48 t^{5} + 75 t^{3} + 5 t,['6.373'],"['6.4869', '6.5214', '6.6451', '6.6872', '6.8412', '6.8833', '6.9764', '6.10057', '6.11689', '6.12040', '6.13031', '6.20499', '6.20762', '6.21864', '6.27907', '6.29405', '6.29725', '6.32674', '6.33015', '6.39336', '6.39794', '6.46354', '6.47604', '6.47929', '6.48827', '6.49098', '6.51346', '6.51559', '6.53284', '6.57368', '6.64345', '6.66921']"
6.374,O1O2O3O4O5U3U5O6U4U6U1U2,"[0, 0, 0]",O1O2O3O4O5U4U5U6U2O6U1U3,O1O2O3O4U3U4U5U1U6O5O6U2,O1O2O3O4U3O5O6U5U4U6U1U2,{'O1O2O3O4O5U3U5O6U4U6U1U2'},"[-2, -1, 0, 1, 1, 1, -1, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, -1, -1, 0]","['6.374', '7.25963']",-1024*K1**6 - 1728*K1**4*K2**2 + 3488*K1**4*K2 - 5776*K1**4 + 2272*K1**3*K2*K3 + 128*K1**3*K3*K4 - 1440*K1**3*K3 - 832*K1**2*K2**4 + 3104*K1**2*K2**3 + 128*K1**2*K2**2*K4 - 11136*K1**2*K2**2 - 1408*K1**2*K2*K4 + 11024*K1**2*K2 - 1648*K1**2*K3**2 - 384*K1**2*K4**2 - 2780*K1**2 + 2208*K1*K2**3*K3 + 192*K1*K2**2*K3*K4 - 2016*K1*K2**2*K3 - 512*K1*K2**2*K5 - 576*K1*K2*K3*K4 + 9384*K1*K2*K3 - 32*K1*K2*K4*K5 + 1864*K1*K3*K4 + 368*K1*K4*K5 - 32*K2**6 + 96*K2**4*K4 - 2776*K2**4 - 32*K2**3*K6 - 1872*K2**2*K3**2 - 384*K2**2*K4**2 + 2304*K2**2*K4 - 2418*K2**2 - 128*K2*K3**2*K4 + 1016*K2*K3*K5 + 264*K2*K4*K6 - 1756*K3**2 - 618*K4**2 - 128*K5**2 - 22*K6**2 + 3616,['6.374'],t^{7} + 28 t^{5} + 43 t^{3} + 8 t,"['6.374', '6.1511', '6.1662']","['6.71', '6.126', '6.221', '6.268', '6.302', '6.684', '6.1223', '6.1270', '6.1359', '6.1406', '6.1446', '6.1928', '6.2379', '6.2439', '6.2929', '6.2981', '6.5739', '6.5772', '6.7804', '6.7837', '6.13272', '6.13303', '6.14786', '6.14810', '6.15942', '6.15966', '6.18058', '6.24498', '6.33029', '6.33387', '6.43918', '6.50489']"
6.375,O1O2O3O4O5U4U1O6U2U3U6U5,"[0, 0, 0]",O1O2O3O4O5U1U6U3U4O6U5U2,O1O2O3O4U5U1U2U6U4O6O5U3,O1O2O3O4U2O5O6U1U6U3U4U5,{'O1O2O3O4O5U4U1O6U2U3U6U5'},"[-4, -2, 0, 1, 2, 3, 0, 3, 1, 4, 4, 1, 0, 2, 2, 0, 1, 2, 0, 0, 1]",['6.375'],256*K1**4*K2**3 - 1536*K1**4*K2**2 + 2688*K1**4*K2 - 2528*K1**4 - 128*K1**3*K2**2*K3 + 640*K1**3*K2*K3 - 1024*K1**3*K3 - 1216*K1**2*K2**4 + 4960*K1**2*K2**3 - 11648*K1**2*K2**2 - 1024*K1**2*K2*K4 + 9304*K1**2*K2 - 288*K1**2*K3**2 - 4956*K1**2 + 2752*K1*K2**3*K3 + 224*K1*K2**2*K3*K4 - 3136*K1*K2**2*K3 - 512*K1*K2**2*K5 - 384*K1*K2*K3*K4 - 32*K1*K2*K3*K6 + 9584*K1*K2*K3 + 1016*K1*K3*K4 + 120*K1*K4*K5 + 8*K1*K5*K6 - 224*K2**6 - 128*K2**4*K3**2 - 32*K2**4*K4**2 + 736*K2**4*K4 - 4184*K2**4 + 288*K2**3*K3*K5 + 32*K2**3*K4*K6 - 128*K2**3*K6 - 1936*K2**2*K3**2 - 32*K2**2*K3*K7 - 536*K2**2*K4**2 + 3336*K2**2*K4 - 96*K2**2*K5**2 - 8*K2**2*K6**2 - 2612*K2**2 + 984*K2*K3*K5 + 168*K2*K4*K6 + 8*K2*K5*K7 - 2076*K3**2 - 720*K4**2 - 152*K5**2 - 20*K6**2 + 4190,['6.375'],t^{7} + 91 t^{5} + 69 t^{3} + 7 t,['6.375'],"['6.16918', '6.17162', '6.20513', '6.21897', '6.23304', '6.23605', '6.27952', '6.29431', '6.35332', '6.35766', '6.39366', '6.41546', '6.42826', '6.43110', '6.45931', '6.47618', '6.55069', '6.55320', '6.57378', '6.58537', '6.59460', '6.59753', '6.62029', '6.63025', '6.64906', '6.65121', '6.66927', '6.67778', '6.68211', '6.68357', '6.69529', '6.70235']"
6.376,O1O2O3O4O5U4U1O6U2U5U6U3,"[0, 0, 0]",O1O2O3O4O5U3U6U1U4O6U5U2,O1O2O3O4U5U1U4U6U2O6O5U3,O1O2O3O4U2O5O6U3U6U1U4U5,"{'O1O2O3O4U5U2O6U1U4U6O5U3', 'O1O2O3O4O5U4U1O6U2U5U6U3'}","[-3, -2, -1, 2, 2, 2, 0, 2, 2, 2, 3, 1, 1, 2, 2, 2, 2, 2, 0, -1, -1]",['6.376'],-1280*K1**4 + 32*K1**3*K2*K3 - 96*K1**3*K3 - 1632*K1**2*K2**2 - 128*K1**2*K2*K4 + 3760*K1**2*K2 - 256*K1**2*K3**2 - 96*K1**2*K3*K5 - 64*K1**2*K4**2 - 2512*K1**2 - 384*K1*K2**2*K3 - 32*K1*K2*K3*K4 + 2672*K1*K2*K3 + 904*K1*K3*K4 + 192*K1*K4*K5 - 240*K2**4 - 8*K2**2*K4**2 + 632*K2**2*K4 - 2094*K2**2 + 80*K2*K3*K5 + 8*K2*K4*K6 - 1072*K3**2 - 528*K4**2 - 88*K5**2 - 2*K6**2 + 2230,['6.376'],t^{7} + 71 t^{5} + 39 t^{3} + 4 t,['6.376'],"['6.16502', '6.16593', '6.18106', '6.18444', '6.22929', '6.23024', '6.24553', '6.24972', '6.34910', '6.35017', '6.36688', '6.37112', '6.42475', '6.42586', '6.43964', '6.44281', '6.54729', '6.54824', '6.55917', '6.56208', '6.59189', '6.59252', '6.60444', '6.60803', '6.64749', '6.64806', '6.65556', '6.65868', '6.68041', '6.68104', '6.68634', '6.68849', '6.73733', '6.73850', '6.78320', '6.78480', '6.78649', '6.78842', '6.85164', '6.89446']"
6.377,O1O2O3O4O5U4U1O6U3U5U6U2,"[0, 0, 0]",O1O2O3O4O5U6U3U1O6U4U5U2,O1O2O3O4U5U4U1U6U2O6O5U3,O1O2O3O4U2O5O6U3U6U4U1U5,"{'O1O2O3O4U3O5U1U2O6U4U5U6', 'O1O2O3O4O5U4U1U2O6U5U3U6', 'O1O2O3O4O5U4U1O6U3U5U6U2'}","[-3, -1, -1, 1, 2, 2, 0, 1, 3, 2, 3, 0, 1, 1, 1, 2, 2, 2, 2, 1, -1]",['6.377'],-64*K1**4*K2**2 + 160*K1**4*K2 - 880*K1**4 + 96*K1**3*K2*K3 - 1200*K1**2*K2**2 + 1648*K1**2*K2 - 176*K1**2*K3**2 - 536*K1**2 + 1112*K1*K2*K3 + 160*K1*K3*K4 + 8*K1*K4*K5 - 384*K2**4 - 144*K2**2*K3**2 - 8*K2**2*K4**2 + 232*K2**2*K4 - 438*K2**2 + 104*K2*K3*K5 + 8*K2*K4*K6 - 268*K3**2 - 68*K4**2 - 20*K5**2 - 2*K6**2 + 658,['6.377'],t^{7} + 64 t^{5} + 32 t^{3},['6.377'],"['6.16533', '6.16624', '6.17521', '6.17577', '6.18874', '6.18950', '6.19215', '6.19510', '6.20056', '6.21186', '6.23056', '6.23469', '6.24119', '6.25500', '6.25573', '6.26023', '6.26409', '6.27121', '6.28656', '6.35049', '6.35602', '6.36302', '6.36370', '6.37601', '6.37688', '6.38321', '6.38514', '6.38903', '6.40462', '6.41104', '6.42507', '6.43479', '6.44604', '6.45197', '6.45414', '6.45656', '6.54761', '6.56439', '6.56862', '6.57838', '6.60179', '6.61164', '6.61391', '6.62406', '6.62804', '6.65019', '6.66569', '6.69221']"
6.378,O1O2O3O4O5U4U1O6U3U6U2U5,"[0, 0, 0]",O1O2O3O4O5U1U6U3O6U4U5U2,O1O2O3O4U5U3U1U6U4O6O5U2,O1O2O3O4U3O5O6U1U6U4U2U5,"{'O1O2O3O4O5U4U1U2O6U3U6U5', 'O1O2O3O4O5U4U1O6U3U6U2U5'}","[-4, -1, 0, 1, 1, 3, 0, 3, 1, 3, 4, 1, 0, 1, 1, 0, 1, 2, 0, 0, 1]",['6.378'],256*K1**4*K2**3 - 768*K1**4*K2**2 + 1056*K1**4*K2 - 1328*K1**4 + 96*K1**3*K2*K3 + 32*K1**3*K3*K4 - 384*K1**2*K2**4 + 832*K1**2*K2**3 - 2224*K1**2*K2**2 + 2232*K1**2*K2 - 176*K1**2*K3**2 - 32*K1**2*K4**2 - 1216*K1**2 + 288*K1*K2**3*K3 + 1608*K1*K2*K3 + 424*K1*K3*K4 + 48*K1*K4*K5 - 32*K2**6 - 64*K2**4*K3**2 - 32*K2**4*K4**2 + 192*K2**4*K4 - 712*K2**4 + 128*K2**3*K3*K5 + 32*K2**3*K4*K6 - 320*K2**2*K3**2 - 216*K2**2*K4**2 + 432*K2**2*K4 - 80*K2**2*K5**2 - 8*K2**2*K6**2 - 856*K2**2 + 304*K2*K3*K5 + 96*K2*K4*K6 + 16*K2*K5*K7 - 616*K3**2 - 344*K4**2 - 112*K5**2 - 16*K6**2 + 1462,['6.378'],t^{7} + 72 t^{5} + 44 t^{3},['6.378'],"['6.16549', '6.16642', '6.16965', '6.17208', '6.17531', '6.17588', '6.18854', '6.18933', '6.19199', '6.19492', '6.22244', '6.23071', '6.24134', '6.25480', '6.26004', '6.26388', '6.28306', '6.34942', '6.35062', '6.35420', '6.35849', '6.35851', '6.36312', '6.36385', '6.37581', '6.39912', '6.39916', '6.42514', '6.42625', '6.43166', '6.43492', '6.44593', '6.46466', '6.54780', '6.55119', '6.55380', '6.56547', '6.59831', '6.60194', '6.66094']"
6.379,O1O2O3O4O5U4U1O6U3U6U5U2,"[0, 0, 0]",O1O2O3O4O5U4U1U6U3O6U5U2,O1O2O3O4U5U4U1U6U3O6O5U2,O1O2O3O4U3O5O6U2U6U4U1U5,{'O1O2O3O4O5U4U1O6U3U6U5U2'},"[-3, -1, -1, 1, 1, 3, 0, 1, 1, 3, 3, 0, 0, 1, 1, 1, 2, 3, -1, 0, 2]",['6.379'],-256*K1**6 + 1152*K1**4*K2 - 4256*K1**4 + 320*K1**3*K2*K3 + 64*K1**3*K3*K4 - 1568*K1**3*K3 - 1984*K1**2*K2**2 - 640*K1**2*K2*K4 + 7024*K1**2*K2 - 1184*K1**2*K3**2 - 416*K1**2*K4**2 - 3464*K1**2 - 32*K1*K2**2*K3 - 32*K1*K2**2*K5 - 32*K1*K2*K3*K4 + 4944*K1*K2*K3 + 1824*K1*K3*K4 + 336*K1*K4*K5 - 64*K2**4 - 96*K2**2*K3**2 - 48*K2**2*K4**2 + 448*K2**2*K4 - 3132*K2**2 + 128*K2*K3*K5 + 48*K2*K4*K6 - 1736*K3**2 - 664*K4**2 - 96*K5**2 - 12*K6**2 + 3422,['6.379'],t^{7} + 63 t^{5} + 37 t^{3} + 4 t,['6.379'],"['6.18878', '6.18886', '6.18890', '6.18903', '6.18905', '6.18906', '6.18954', '6.18962', '6.18966', '6.18981', '6.18982', '6.18983', '6.25577', '6.25585', '6.25589', '6.25605', '6.25606', '6.25608', '6.37613', '6.37617', '6.37621', '6.37630', '6.37632', '6.37633', '6.56416', '6.56419', '6.56451', '6.56455', '6.56459', '6.56470', '6.56471', '6.56472']"
6.380,O1O2O3O4O5U4U1O6U5U3U6U2,"[0, 0, 0]",O1O2O3O4O5U4U6U3U1O6U5U2,O1O2O3O4U5U4U6U1O6U2O5U3,O1O2O3O4U2O5O6U4U6U3U1U5,"{'O1O2O3O4U3O5U1O6U4U5U6U2', 'O1O2O3O4O5U4U1O6U5U3U6U2'}","[-3, -1, 0, 1, 1, 2, 0, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 2, 0, 1, 2]",['6.380'],-64*K1**6 - 64*K1**4*K2**2 + 736*K1**4*K2 - 2640*K1**4 + 192*K1**3*K2*K3 - 288*K1**3*K3 - 2240*K1**2*K2**2 - 32*K1**2*K2*K4 + 4176*K1**2*K2 - 368*K1**2*K3**2 - 1168*K1**2 - 128*K1*K2**2*K3 - 32*K1*K2*K3*K4 + 2128*K1*K2*K3 + 280*K1*K3*K4 + 16*K1*K4*K5 - 216*K2**4 - 112*K2**2*K3**2 - 8*K2**2*K4**2 + 216*K2**2*K4 - 1358*K2**2 + 80*K2*K3*K5 + 8*K2*K4*K6 - 460*K3**2 - 82*K4**2 - 12*K5**2 - 2*K6**2 + 1440,['6.380'],t^{7} + 52 t^{5} + 25 t^{3} + 3 t,['6.380'],"['6.11254', '6.11332', '6.12515', '6.12626', '6.13894', '6.13989', '6.14144', '6.14369', '6.14965', '6.15086', '6.15600', '6.16072', '6.17424', '6.22595', '6.22626', '6.23932', '6.24073', '6.24165', '6.26142', '6.26561', '6.30936', '6.31059', '6.33705', '6.33780', '6.34577', '6.36228', '6.37665', '6.37712', '6.42271', '6.44795', '6.52004', '6.52099', '6.54101', '6.54409', '6.54579', '6.56495', '6.56668', '6.59053', '6.60058', '6.64557']"
6.381,O1O2O3O4O5U4U1O6U5U6U2U3,"[0, 0, 0]",O1O2O3O4O5U3U4U6U1O6U5U2,O1O2O3O4U5U3U4U6U1O6O5U2,O1O2O3O4U3O5O6U4U6U1U2U5,"{'O1O2O3O4U5U2O6U4U6U1O5U3', 'O1O2O3O4O5U4U1O6U5U6U2U3'}","[-3, -1, 0, 1, 1, 2, 0, 2, 1, 2, 3, 1, 1, 1, 1, 1, 0, 1, -1, -1, 0]",['6.381'],-32*K1**4 - 192*K1**2*K2**4 + 480*K1**2*K2**3 - 2496*K1**2*K2**2 - 128*K1**2*K2*K4 + 2720*K1**2*K2 - 1900*K1**2 + 224*K1*K2**3*K3 - 288*K1*K2**2*K3 - 32*K1*K2**2*K5 + 1992*K1*K2*K3 + 72*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 488*K2**4 - 48*K2**2*K3**2 - 8*K2**2*K4**2 + 448*K2**2*K4 - 1064*K2**2 + 8*K2*K3*K5 - 380*K3**2 - 90*K4**2 + 1200,['6.381'],t^{7} + 42 t^{5} + 49 t^{3} + 4 t,['6.381'],"['6.10505', '6.10509', '6.10570', '6.10578', '6.10757', '6.10765', '6.10880', '6.10884', '6.17688', '6.17690', '6.17737', '6.17739', '6.24298', '6.24300', '6.24777', '6.25236', '6.30190', '6.30194', '6.30257', '6.30265', '6.30384', '6.30392', '6.30638', '6.30732', '6.36526', '6.36967', '6.43632', '6.43634', '6.43738', '6.43740', '6.52724', '6.52830', '6.60362', '6.60364', '6.60632', '6.60969', '6.63450', '6.63454', '6.65423', '6.65769']"
6.382,O1O2O3O4O5U4U1O6U5U6U3U2,"[0, 0, 0]",O1O2O3O4O5U4U3U6U1O6U5U2,O1O2O3O4U5U4U3U6U1O6O5U2,O1O2O3O4U3O5O6U4U6U2U1U5,{'O1O2O3O4O5U4U1O6U5U6U3U2'},"[-3, -1, 1, 1, 1, 1, 0, 1, 2, 2, 3, 1, 1, 1, 1, -1, -1, -1, 0, 0, 0]",['6.382'],2528*K1**4*K2 - 5824*K1**4 + 1440*K1**3*K2*K3 - 1280*K1**3*K3 - 128*K1**2*K2**4 + 480*K1**2*K2**3 + 128*K1**2*K2**2*K4 - 5632*K1**2*K2**2 - 544*K1**2*K2*K4 + 7264*K1**2*K2 - 1408*K1**2*K3**2 - 32*K1**2*K4**2 - 1056*K1**2 + 224*K1*K2**3*K3 - 416*K1*K2**2*K3 - 64*K1*K2**2*K5 - 96*K1*K2*K3*K4 + 4456*K1*K2*K3 + 792*K1*K3*K4 + 16*K1*K4*K5 - 32*K2**6 + 32*K2**4*K4 - 432*K2**4 - 128*K2**2*K3**2 - 8*K2**2*K4**2 + 336*K2**2*K4 - 1920*K2**2 + 72*K2*K3*K5 - 792*K3**2 - 100*K4**2 + 2122,['6.382'],t^{7} + 39 t^{5} + 30 t^{3} + 2 t,['6.382'],"['6.10521', '6.10525', '6.10602', '6.10610', '6.10789', '6.10797', '6.10896', '6.10900', '6.19022', '6.19038', '6.19096', '6.19098', '6.19143', '6.19145', '6.25540', '6.25556', '6.25635', '6.25651', '6.25768', '6.25770', '6.30206', '6.30210', '6.30289', '6.30297', '6.30416', '6.30424', '6.37724', '6.37740', '6.56511', '6.56519', '6.66167', '6.66175']"
